epoch,train_image_loss,valid_image_loss,train_image_f1_score,valid_image_f1_score
1,0.012835219502449036,0.015054479241371155,0.39297122128112305,0.4880828929105078
2,0.014132007956504822,0.012849532067775726,0.5385107142076847,0.5470922192080037
3,0.011238960549235344,0.011857141740620136,0.5743678980699387,0.5667212849421158
4,0.010549921542406082,0.008638107217848301,0.5958513384706705,0.5893924388549755
5,0.008827108889818192,0.007240401115268469,0.6222555999350913,0.6171729624636738
6,0.0073550608940422535,0.007995358668267727,0.6502119638873306,0.6402789582215788
7,0.009661462157964706,0.008241635747253895,0.6731302915571399,0.6496552305025117
8,0.0077521889470517635,0.0057907747104763985,0.6871934153727592,0.6590834044271919
9,0.007394272368401289,0.008546682074666023,0.7046530910943973,0.6449070474016262
10,0.005284647922962904,0.006346956826746464,0.7185456695753989,0.6666693276310398
11,0.006670443341135979,0.007946486584842205,0.7344484492645326,0.6688628502288121
12,0.0069272276014089584,0.009328658692538738,0.7472734604223994,0.6809300966918278
13,0.006465594749897718,0.007716211955994368,0.7634831260115787,0.6844933803791908
14,0.005284914746880531,0.006062074564397335,0.7708015555244138,0.6736149649464497
15,0.004602042492479086,0.008990490809082985,0.7822422613304985,0.6828762437501202
16,0.0035624532029032707,0.008218863978981972,0.7977496136764315,0.6894307135353146
17,0.008096299134194851,0.008411278016865253,0.805838624570378,0.6865607116057953
18,0.004945010878145695,0.005319057963788509,0.8095563908269414,0.6946507069525509
19,0.0033640896435827017,0.00904227327555418,0.826886059995612,0.6994986931041588
20,0.0031719219405204058,0.007662548217922449,0.8345855501392981,0.7009301468758452
21,0.00441111670807004,0.0064699240028858185,0.8421395042627797,0.6970871149352384
22,0.0016210151370614767,0.00794290192425251,0.850319812353011,0.7097667570547216
23,0.002032511867582798,0.009130792692303658,0.8567010430088554,0.7007058292422449
24,0.003068933030590415,0.007596732582896948,0.8631401924395085,0.7058546317809643
25,0.0015116495778784156,0.004802533891052008,0.864568211771304,0.7160274909192909
26,0.0023777191527187824,0.006954656448215246,0.8708313881560039,0.7077311215448339
